video_id,url,title,channel,status,source,chars
qWiD14RnYQ8,https://www.youtube.com/watch?v=qWiD14RnYQ8,How to Train an AI Agent to do Adaptive Learning Trading - PPO vs DQN,AI trading channel,ok,ytdlp,15000
ofzrvCPRRjw,https://www.youtube.com/watch?v=ofzrvCPRRjw,Introduction to Quantitative Finance in Python (ARIMA & Time Series),QuantPy,ok,ytdlp,78127
cdwGyCLn770,https://www.youtube.com/watch?v=cdwGyCLn770,Quant Finance with Python | Stock Market Modeling,QuantPy,ok,ytdlp,113640
b9RgHa1CnH4,https://www.youtube.com/watch?v=b9RgHa1CnH4,Quant Finance with Python and Pandas | 50 Concepts in 9 Minutes,QuantPy,ok,ytdlp,9631
9Y3yaoi9rUQ,https://www.youtube.com/watch?v=9Y3yaoi9rUQ,Algorithmic Trading - Machine Learning & Quant Strategies Course with Python,freeCodeCamp (Lachezar Haralampiev),ok,ytdlp,122978
YuI3mS5HJ2I,https://www.youtube.com/watch?v=YuI3mS5HJ2I,GARCH Model Implemented in Python to Forecast Volatility,Python finance channel,ok,ytdlp,9760
waiBgdalmSE,https://www.youtube.com/watch?v=waiBgdalmSE,How to Code a Bitcoin Bot in Python - Machine Learning Tutorial,Python ML channel,ok,ytdlp,22195
OojcSzWrjsg,https://www.youtube.com/watch?v=OojcSzWrjsg,How to Build a Stock Screener AGENT with LangGraph in 30 Minutes,Nicholas Renotte,ok,ytdlp,35214
KTXJdkhedaM,https://www.youtube.com/watch?v=KTXJdkhedaM,Building a Momentum Stock Screener in Python - Full Tutorial,QuantInsti,ok,ytdlp,23009
waVUvKjXD6I,https://www.youtube.com/watch?v=waVUvKjXD6I,Statistical Arbitrage: Step-by-Step Pairs Trading Tutorial,Quant trading channel,ok,ytdlp,6857
yWkpRdpOiPY,https://www.youtube.com/watch?v=yWkpRdpOiPY,"Cryptocurrency-predicting RNN Model - Deep Learning w/ Python, TensorFlow and Keras p.11",sentdex,ok,ytdlp,17439
dvn6OAEi2G0,https://www.youtube.com/watch?v=dvn6OAEi2G0,"Normalizing and creating sequences Crypto RNN - Deep Learning w/ Python, TensorFlow and Keras p.9",sentdex,ok,ytdlp,15965
ne-dpRdNReI,https://www.youtube.com/watch?v=ne-dpRdNReI,"Cryptocurrency-predicting RNN intro - Deep Learning w/ Python, TensorFlow and Keras p.8",sentdex,ok,ytdlp,18188
