strat,ticker,oos_total,oos_sharpe,oos_maxdd,bh_total,bh_sharpe,bh_maxdd,beats_return,beats_sharpe
g022,SOL,0.43409364605334133,1.0106933169408971,-0.14075198343680495,-0.4279910962715654,0.1099679743414206,-0.7629214340198327,True,True
g023,BTC,0.15486891065545816,0.3516709148061593,-0.37882685642134795,0.23525211786727662,0.42716023877160075,-0.5119837063290327,False,False
g023,ETH,-0.3128678099261596,-0.09785510146928304,-0.5981789804203274,-0.4133365022238833,0.02361717271056297,-0.6755191528088037,True,False
g023,SOL,-0.08443722823783395,0.21363462798154276,-0.6062924578889627,-0.4279910962715654,0.1099679743414206,-0.7629214340198327,True,True
g024,BTC,0.09176145547451253,0.272668286175563,-0.3575101987010535,0.23525211786727662,0.42716023877160075,-0.5119837063290327,False,False
g024,ETH,-0.26590353545906975,-0.2523051624290971,-0.5429300247292579,-0.4133365022238833,0.02361717271056297,-0.6755191528088037,True,False
g024,SOL,-0.21316302676880072,-0.042949868791196735,-0.5081134916606278,-0.4279910962715654,0.1099679743414206,-0.7629214340198327,True,False
g025,BTC,0.318593685640699,0.5208469123118483,-0.35408396616328053,0.23525211786727662,0.42716023877160075,-0.5119837063290327,True,True
g025,ETH,-0.009763218392178308,0.20578371069622217,-0.5075152302757001,-0.4133365022238833,0.02361717271056297,-0.6755191528088037,True,True
g025,SOL,-0.5052692854865191,-0.2917396047701273,-0.6907220021309624,-0.4279910962715654,0.1099679743414206,-0.7629214340198327,False,False
g026,BTC,0.27267753030600117,0.47706087163324923,-0.40230478107142886,0.23525211786727662,0.42716023877160075,-0.5119837063290327,True,True
g026,ETH,-0.3488372957620287,-0.16958869488134432,-0.5418814706826762,-0.4133365022238833,0.02361717271056297,-0.6755191528088037,True,False
g026,SOL,-0.47176961487923963,-0.24871988880230644,-0.6882571947536518,-0.4279910962715654,0.1099679743414206,-0.7629214340198327,False,False
g027,BTC,-0.24047711488810852,-0.40885492190294254,-0.3385515513184052,0.23525211786727662,0.42716023877160075,-0.5119837063290327,False,False
g027,ETH,0.06660557266330769,0.23518001685869017,-0.175753110899166,-0.4133365022238833,0.02361717271056297,-0.6755191528088037,True,True
g027,SOL,-0.5211029393192104,-0.6845883207277909,-0.5755951858619345,-0.4279910962715654,0.1099679743414206,-0.7629214340198327,False,False
g028,BTC,-0.028339602535979558,0.15798165574722342,-0.42052964716331986,0.23525211786727662,0.42716023877160075,-0.5119837063290327,False,False
